"Unread post by Nice One Cyril » Fri Nov 27, 2020 6:00 am He meant a whole lot to a lot of people and at the end of the day he is still a son, a father, a grandfather and deserves to be mourned by people. Did you know him personally, a good friend of yours, distant family perhaps? Those are the peop","Fri Nov 27, 2020 8:17 am",62,6387,World Football,Diego Maradona dies
"The bloke could play, he was inspirational to my generation of football players, he should be celebrated.Shilton could handle the ball, maradona couldn't. It was a 50/50 and Shilton was beaten by a short àrse to get his hands on it. The ref missed it, tough luck. Id be more pissed at Shilton.","Fri Nov 27, 2020 7:53 am",62,6387,World Football,Diego Maradona dies
"Just took a break to say, the night is going well. Keep up the celebrations all.","Thu Nov 26, 2020 9:12 pm",62,6387,World Football,Diego Maradona dies
"Now i have goosebumps,legends must have something in common.","Thu Nov 26, 2020 8:13 pm",62,6387,World Football,Diego Maradona dies
and George Best died the same date.,"Thu Nov 26, 2020 7:41 pm",62,6387,World Football,Diego Maradona dies
"Fidel Castro was a great friend/fan of Diego who had his tattoo on his calf muscle,as a sign of respect for helping him with free drug rehab in Cuba,now Fidel died 4 years ago on 25/11-coincidence?","Thu Nov 26, 2020 6:55 pm",62,6387,World Football,Diego Maradona dies
"Nothing like the party I had when your heroine died. GIAE, you won't beat that one. And you know something, the port is still dead.so good that is. As a southerner, I thought you'd have liked her. I didn't know you generalised so much. BTW What about James Meredith, or was that never proven. Jus","Thu Nov 26, 2020 5:24 pm",62,6387,World Football,Diego Maradona dies
"It is actually really sad, there are talks already about renaming the stadium in Napoli after him","Thu Nov 26, 2020 4:40 pm",62,6387,World Football,Diego Maradona dies
"A player who had great ability & talent,pity about the drugs.","Thu Nov 26, 2020 4:39 pm",62,6387,World Football,Diego Maradona dies
,"Thu Nov 26, 2020 4:19 pm",62,6387,World Football,Diego Maradona dies
"Nothing like the party I had when your heroine died. GIAE, you won't beat that one. And you know something, the port is still dead.so good that is. As a southerner, I thought you'd have liked her. I didn't know you generalised so much. BTW What about James Meredith, or was that never proven.","Thu Nov 26, 2020 4:10 pm",62,6387,World Football,Diego Maradona dies
"As a southerner, I thought you'd have liked her.","Thu Nov 26, 2020 4:04 pm",62,6387,World Football,Diego Maradona dies
"Nothing like the party I had when your heroine died.GIAE, you won't beat that one. And you know something, the port is still dead.so good that is.","Thu Nov 26, 2020 4:01 pm",62,6387,World Football,Diego Maradona dies
We didn't play them in the 1994 world cup.,"Thu Nov 26, 2020 3:58 pm",62,6387,World Football,Diego Maradona dies
Starts at 6pm tonight. I would invite you but only allowed 7 guests and we're full.,"Thu Nov 26, 2020 3:57 pm",62,6387,World Football,Diego Maradona dies
all his friends are there,"Thu Nov 26, 2020 3:55 pm",62,6387,World Football,Diego Maradona dies
Covid style celebration. Attendance - 1,"Thu Nov 26, 2020 3:49 pm",62,6387,World Football,Diego Maradona dies
you know youre really not having one,"Thu Nov 26, 2020 3:47 pm",62,6387,World Football,Diego Maradona dies
Still suffering that World Cup loss?Let it go,"Thu Nov 26, 2020 2:28 pm",62,6387,World Football,Diego Maradona dies
"Party at mine tonight, going to be a big celebration.Drug cheats should not be mourned.","Thu Nov 26, 2020 2:14 pm",62,6387,World Football,Diego Maradona dies
that was turning Milan Ivanovic inside out and scoring a brilliant goal to knock us out of the World Cup. RIP to the flawed Genius that is Diego Maradona.,"Thu Nov 26, 2020 1:03 pm",62,6387,World Football,Diego Maradona dies
WOW!!!! You harp on about players cheating then saying to all detractors watch the warm up .,"Thu Nov 26, 2020 12:11 pm",62,6387,World Football,Diego Maradona dies
Drug addicted cheat. Good riddance.,"Thu Nov 26, 2020 12:03 pm",62,6387,World Football,Diego Maradona dies
"NOC is insignificant, probably even at home, hence why he comes on here for attention.Ignore the old man, i'ts best the thing to do at times.","Thu Nov 26, 2020 11:52 am",62,6387,World Football,Diego Maradona dies
"Unread post by Nice One Cyril » Thu Nov 26, 2020 6:36 am Forever remembered. As a dirty little cheat. I for one will shed no tears. Might even open a nice bottle of wine to celebrate, 1986 was a good year apparently. ;-) do you really think this mans legacy will be defined by what .85% of the world","Thu Nov 26, 2020 11:50 am",62,6387,World Football,Diego Maradona dies
What?,"Thu Nov 26, 2020 11:15 am",62,6387,World Football,Diego Maradona dies
One of the best to have ever played our game. A legend,"Thu Nov 26, 2020 10:38 am",62,6387,World Football,Diego Maradona dies
all detracters should watch that warmup.,"Thu Nov 26, 2020 10:26 am",62,6387,World Football,Diego Maradona dies
"Anyone who could annoy so many poms is ok by me. A unique and legend of a player. Him and bloody Tomaszewski, but at least I could respect big Jan. But your Cloughy called Tomaszewski a clown. ps, I thought a loose truce was called that there would be no “funny” or spiteful comments on RIP threads","Thu Nov 26, 2020 9:56 am",62,6387,World Football,Diego Maradona dies
@ NOChappy for you to have your opinionas long as you understanding that in the scheme of thingsits insignificant.,"Thu Nov 26, 2020 9:21 am",62,6387,World Football,Diego Maradona dies
"Him and bloody Tomaszewski, but at least I could respect big Jan.","Thu Nov 26, 2020 9:19 am",62,6387,World Football,Diego Maradona dies
"The best players that i saw live, I didn't get to see Pele but Diego Armando Maradona was a pure superstar and lived a very hard and controversial life, RIP to the GOAT.","Thu Nov 26, 2020 8:52 am",62,6387,World Football,Diego Maradona dies
Anyone who could annoy so many poms is ok by me. A unique and legend of a player.,"Thu Nov 26, 2020 8:45 am",62,6387,World Football,Diego Maradona dies
"Scoring the “goal of the century” in the same game one of many ,many highlights. One of very few that can hold the title GOAT. Always remembered.","Thu Nov 26, 2020 7:55 am",62,6387,World Football,Diego Maradona dies
"Forever remembered.As a dirty little cheat. I for one will shed no tears. Might even open a nice bottle of wine to celebrate, 1986 was a good year apparently.","Thu Nov 26, 2020 7:06 am",62,6387,World Football,Diego Maradona dies
"+1. Football legend and genius may be an overused term these days but not when it comes to this man. Sensational talenton the football field, a rogue off it. RIP Diego.","Thu Nov 26, 2020 6:37 am",62,6387,World Football,Diego Maradona dies
RIP the flawed genius.,"Thu Nov 26, 2020 3:17 am",62,6387,World Football,Diego Maradona dies
I loved it,"Wed Nov 25, 2020 4:27 pm",4,2866,Football Films,Diego Maradona - the film
"knowledge of the game and what I hear, she has a fantastic rapport with females players. :lol: :lol: :lol: :lol: :lol: :oops: :oops: :oops: :oops: Maradona has the experience and knowledge and from what we know, his players loved him.too bad he failed in every coaching position he ever held.","Thu Feb 20, 2020 11:26 am",12,4179,Womens Football,Heather Garriock as new Adelaide United Head Coach
Bloody great movie:),"Sun Nov 24, 2019 3:57 pm",4,2866,Football Films,Diego Maradona - the film
"Friends have told me ""Bloody great movie, the director is a genius""!A very different perspective on a troubled talented footballer.","Thu Aug 22, 2019 1:39 pm",4,2866,Football Films,Diego Maradona - the film
"Anyone see it yet? Reviews look quite good, well rated etc.","Thu Aug 15, 2019 12:00 pm",4,2866,Football Films,Diego Maradona - the film
"a cheat. After the worst cheating incident in world cricket, here we have an aussie calling an Italian a cheat. More front than Myer. :oops: And Maradona in 1986? Seems your lot have even worse hangovers. :lol:","Fri Jun 28, 2019 10:33 am",29,8816,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Today Thirteen Years Ago
"needed is they're not good enough as the NPL is a much lower standard than the conference. Perhaps you could tell us a story about when you met Maradona and he told told that NPL players should be in the conference. I am still waiting for the PROOF, not your opinion but as usual, you deflect.","Fri Oct 12, 2018 2:34 pm",73,11320,World Football,Goalkeeper Wanted
"[quote=""Old Master""]Oh dear, the only proof needed is they're not good enough as the NPL is a much lower standard than the conference. Perhaps you could tell us a story about when you met Maradona and he told told that NPL players should be in the conference.","Sun Sep 23, 2018 7:19 pm",73,11320,World Football,Goalkeeper Wanted
Daniel Garb in his summation on Fox probably got the penalty decision right. The ref did not call penalty a if you use a frame by frame video to overrule it you are re-refereeing the game. It was not a clear and is to call is to avoid obvious blunders eg the Maradona one.,"Sun Jun 17, 2018 6:46 pm",74,16948,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",France v Australia
"say so either, he was jumping in and ball has bounced up (was it off his foot?) and hit his arm. Not deliberate as far as I can see. I agree 100%. Maradona said the same that the English press were unfair on him for a ball to hand a few years back. :lol:","Thu Nov 16, 2017 12:03 pm",110,27106,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Honduras v. Australia
He can stay where he is.,"Tue Nov 07, 2017 1:18 pm",7,2841,World Football,Man City EPL Champions 2017/2018
"Diego Maradona’s son-in-law, Sergio Aguero ain’t bad either. Wish the Gunners had him as a finisher for all of Arsenal’s attractive, flowing midfield play..","Mon Nov 06, 2017 8:17 am",7,2841,World Football,Man City EPL Champions 2017/2018
"an attacking formation which requires thus helps develop wide players (1 V 1) and just as importantly if not more important the no: 10 position (Maradona, Platini, Zico, Zidane etc). I cant ever recall Australia ever having a world class no: 10 (my memory is fading but A Vidmar, Bresciano & possibly","Sat Oct 21, 2017 10:14 pm",62,13555,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",I'll be accepting your thanks
"to supply me with 1 name..just 1 of anyone involved in the game who agrees with you assertion Bodo :lol: :lol: :lol: :oops: :oops: :oops: Maradona - ""A thief who steals from another thief has 100 years of forgiveness""","Sat Jul 08, 2017 11:48 am",116,23047,World Football,Happy Anniversary England!!!!!!
Maradona was a football genius as proved by the brilliant individual goal against England (amongst many others). IMO GIAE is at the wind up as it still hurts so bad after all these years that he has to taint what was an absolute,"Fri Jul 07, 2017 3:00 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"glasses off. just give me one credible source who agrees with you.just 1..and for every one that you give, i'll give 10 that state that Maradona scored the goal of the century against your mob.and the one in the 55' minute was pretty good too just 1please","Thu Jul 06, 2017 4:55 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"i have seen the video from different anglesthe one from behind the goals clearly shows Maradona scoring with no Fenwick contact. Then you need to watch it again, it's clear as day. I only noticed it myself a few years ago after someone pointed it out. You'll be saying","Thu Jul 06, 2017 4:54 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"assertion.past player, current player, journo etc i have seen the video from different anglesthe one from behind the goals clearly shows Maradona scoring with no Fenwick contact. butim also happy to quote Peter Reid. England midfielder Peter Reid has been asked many times why he","Thu Jul 06, 2017 4:22 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"taken from the FIFA website Diego MARADONA 51', 55' its official.Fenwicks contribution was the comedy relief and Maradona was the scorer of the 2nd greatest goal in WC history.his first one in that game was the best It says maradona","Tue Jul 04, 2017 9:29 am",116,23047,World Football,Happy Anniversary England!!!!!!
"So by that logic maradona din't handle the ball either, because the officials were there.","Sun Jul 02, 2017 2:33 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"Inconclusive (Fenwick). :wink: Either way, Maradona took the piss twice.","Thu Jun 29, 2017 10:26 am",116,23047,World Football,Happy Anniversary England!!!!!!
So by that logic maradona didn't handle the ball.,"Thu Jun 29, 2017 10:04 am",116,23047,World Football,Happy Anniversary England!!!!!!
taken from the FIFA websiteits official.Fenwicks contribution was the comedy relief and Maradona was the scorer of the 2nd greatest goal in WC history.his first one in that game was the best,"Wed Jun 28, 2017 2:42 pm",116,23047,World Football,Happy Anniversary England!!!!!!
maradona didn't score it,"Mon Jun 26, 2017 12:02 pm",116,23047,World Football,Happy Anniversary England!!!!!!
Where did I say the dribble goal wasn't legitimate?He won't answer as he pretends to have blocked me so he doesn't have to answer questions put to him,"Mon Jun 26, 2017 11:58 am",116,23047,World Football,Happy Anniversary England!!!!!!
"So the dribble goal wasn't legitimate, heard everything now.","Mon Jun 26, 2017 11:17 am",116,23047,World Football,Happy Anniversary England!!!!!!
No he didn't.,"Mon Jun 26, 2017 10:37 am",116,23047,World Football,Happy Anniversary England!!!!!!
"Was the purpose of the post to show you were wrong? If so, I agree. Maradona didn't even score one legitimate goal in the game.","Mon Jun 26, 2017 5:10 am",116,23047,World Football,Happy Anniversary England!!!!!!
"right or wrongthe post served its purpose. the best back-handed compliment given by Maradona to the English with tongue planted firmly in cheek.. Maradona: “If we had been playing against another team, I would never, ever have made that goal. Another team would","Sun Jun 25, 2017 10:02 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"bandaged wrist, the Brazil-France quarter final (Socrates, Platini and Zico all missing penalties)..the long range shots, and of course Maradona!!!!","Sun Jun 25, 2017 9:10 pm",116,23047,World Football,Happy Anniversary England!!!!!!
"Published in the Guardian today - genius. Maradona, Ormondroyd, Ferenc Puskas, Tommy Boyd East Fife four Forfar five, Maracanazo Oleg Blokhin, vidiprinter, buffet battle, Lineker’s sphincter North Korea, South Korea, Menotti, Bilardo Hit too well,","Wed Feb 08, 2017 10:04 am",2,1527,World Football,With apologies to Billy Joel...
"it an Aussie to do it, and then make a big song and dance about it, which shows it really gets your gander up. Hence I laugh every time I see the Maradona hand of god goal, as it still resonates with your whingeing lot after all these years, whereas most others would have been over it by now.","Thu Jan 12, 2017 10:01 am",147,35132,Other Sports,Steve Smith a cheat?
"Maradona was brought up by a polish bloke though, not an Englishman.One incident?Do you really think it will be 25 years until the next one? It's not even smiths first in 25 years","Sat Dec 17, 2016 8:29 am",147,35132,Other Sports,Steve Smith a cheat?
"Yeah, if it was Stuart Broad, the aussie press would want him drawn & quartered. You're the ones who keep on about it. PS - Maradona. :P Just highlighting the hypocrisy. And in 25 years time, you'll find another incident to ""highlight the hypocrisy"". That's half your problem - you find","Sat Dec 17, 2016 12:43 am",147,35132,Other Sports,Steve Smith a cheat?
Just highlighting the hypocrisy.,"Fri Dec 16, 2016 3:57 pm",147,35132,Other Sports,Steve Smith a cheat?
You're the ones who keep on about it.PS - Maradona.,"Fri Dec 16, 2016 3:39 pm",147,35132,Other Sports,Steve Smith a cheat?
what if maradona and Henry acted subconsciously/instinctively with no thought behind their decision??? what peters believes and what he says are two different things.he knew it didn't cross and but acted as if it did to,"Thu Aug 04, 2016 12:12 pm",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
what if maradona and Henry acted subconsciously/instinctively with no thought behind their decision???what peters believes and what he says are two different things.he knew it didn't cross and but acted as if it did to convince the officials.cheating!!!NEXT!!!,"Thu Aug 04, 2016 11:25 am",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
"Englishman No, it's because he cheated. Which England player cheated? anyone of them that claimed a goal that wasnta little like Henry and maradona. You have to do it knowingly to cheat. Martin Peters was the closest and as long as he believes it was over the line then he's not cheating.","Thu Aug 04, 2016 10:27 am",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
anyone of them that claimed a goal that wasnta little like Henry and maradona.,"Thu Aug 04, 2016 10:09 am",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
"have needed to travel a further 2.5–6.0 cm to fully cross the line, and that therefore it was not a goal.[10] Hawkseywhats your opinion of Maradona and the Hand of God??? He was a cheat","Mon Aug 01, 2016 6:13 pm",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
"have needed to travel a further 2.5–6.0 cm to fully cross the line, and that therefore it was not a goal.[10] Hawkseywhats your opinion of Maradona and the Hand of God???","Mon Aug 01, 2016 5:21 pm",54,10369,World Football,England......Celebrating 50 Years Of Cheating!!!!
What's the malvinas dispute?,"Tue Oct 27, 2015 8:19 am",357,69912,Other Sports,Rugby World Cup
With all due respect maradona's hand of god was a bigger sin than the Malvinas Islands dispute.,"Tue Oct 27, 2015 12:11 am",357,69912,Other Sports,Rugby World Cup
Did he rely on the defender to put it past the keeper like maradickhead as well?,"Wed Jun 17, 2015 9:18 pm",1,1309,World Football,Was Messi Imitating Maradona To get more famous ?
"None forget how Lionel Messi embarrases Getafe as he dribbles through them with ease and scores a wonderful goal just like Maradona did to England in the World Cup. But was that just coincidence ? Didn't messi know that by trying to imitate maradona he will be more famous ? In 1987,","Wed Jun 17, 2015 7:52 pm",1,1309,World Football,Was Messi Imitating Maradona To get more famous ?
"this term ""elite"" in reference to these squads and everything associated with them. Puskas, Di Stefano, Pele, Maldini, Socrates, Cruyff, Zidane, Maradona and Messi were elite juniors. Herbert Chapman, Vincente Feola, Helena Herrara, Cesar Menotti and Rinus Michels were elite coaches please.[/quote]","Fri Nov 21, 2014 12:49 pm",29,6920,Womens Football,New PowerHouse Team To Dominate Women's Football in 2015
"this term ""elite"" in reference to these squads and everything associated with them. Puskas, Di Stefano, Pele, Maldini, Socrates, Cruyff, Zidane, Maradona and Messi were elite juniors. Herbert Chapman, Vincente Feola, Helena Herrara, Cesar Menotti and Rinus Michels were elite coaches please. In","Fri Nov 21, 2014 8:28 am",29,6920,Womens Football,New PowerHouse Team To Dominate Women's Football in 2015
"this term ""elite"" in reference to these squads and everything associated with them. Puskas, Di Stefano, Pele, Maldini, Socrates, Cruyff, Zidane, Maradona and Messi were elite juniors. Herbert Chapman, Vincente Feola, Helena Herrara, Cesar Menotti and Rinus Michels were elite coaches please.","Thu Nov 20, 2014 9:53 pm",29,6920,Womens Football,New PowerHouse Team To Dominate Women's Football in 2015
"And thats why some will have their heads buried in the sand about him. I'm rating him as a footballer, nothing else. Maradona wasn't an angel on and off the field, but still a legend.","Sat Oct 11, 2014 5:29 pm",31,6605,World Football,LFC Legends
"I'm not upset, we got what we deserved. If anything I really don't mind Suarez at all. Reminds me a lot of Maradona.","Fri Jun 27, 2014 10:57 am",167,21618,World Football,Suarez
The key word is credited. He didn't actually score it. Hurst was also credited with a hatrick he didn't actually score one.,"Fri Jun 20, 2014 8:39 pm",64,8585,World Football,Australia v Netherlands
"God is an Englishman silly POM.cant let old grudges go. As good as it was.1 name, 1 number..Maradona 1986 Sill bubble/convict - Cahill's was better. Maradona's was an own goal by Fenwick and how many players did he actually beat? :clown: :clown: :clown: :clown: :clown:","Fri Jun 20, 2014 8:11 pm",64,8585,World Football,Australia v Netherlands
"the Italia '90 situation as ultimately the support was for Italy, but the Neapolitans wouldn't have been so down-heartened by something like a Maradona double in a narrow loss, or even if Maradona did net the winner. There was a banner in the stadium which read 'Diego, we love you but at the","Fri Jun 20, 2014 2:40 pm",56,8768,World Football,Suarez 2-1 England
feel right about now? are there any out there The non-English Liverpool supporters are fine with it. :wink: How did Napoli supporters welcome Maradona after he did similar to Italy (can't recall if directly or indirectly) in Italia '90? He didn't play well but the support was for Argentina.,"Fri Jun 20, 2014 2:18 pm",56,8768,World Football,Suarez 2-1 England
feel right about now? are there any out there The non-English Liverpool supporters are fine with it. :wink: How did Napoli supporters welcome Maradona after he did similar to Italy (can't recall if directly or indirectly) in Italia '90? This is one can of worms you don't wont to open :wink:,"Fri Jun 20, 2014 10:15 am",56,8768,World Football,Suarez 2-1 England
feel right about now? are there any out there The non-English Liverpool supporters are fine with it. :wink: How did Napoli supporters welcome Maradona after he did similar to Italy (can't recall if directly or indirectly) in Italia '90?,"Fri Jun 20, 2014 9:55 am",56,8768,World Football,Suarez 2-1 England
"it - best World Cup goal of all time. @Tim_Cahill # AUSvNED silly POM.cant let old grudges go. As good as it was.1 name, 1 number..Maradona 1986 Sill bubble/convict - Cahill's was better. Maradona's was an own goal by Fenwick and how many players did he actually beat?","Fri Jun 20, 2014 3:54 am",64,8585,World Football,Australia v Netherlands
"AUSvNEDsilly POM.cant let old grudges go. As good as it was.1 name, 1 number..Maradona 1986","Thu Jun 19, 2014 9:02 pm",64,8585,World Football,Australia v Netherlands
"Nope, seen it fail plenty of times in the past. One example was the West Germans allocating a big fit burly guy to shadow Maradona in the 1986 Final, but he still got away and played the pass for the winning goal. IMO the marker can't seem to sustain shadowing a midfielder all over","Tue Jun 17, 2014 2:41 pm",71,9804,World Football,England v Italy
"give him a shadow. Easy. Nope, seen it fail plenty of times in the past. One example was the West Germans allocating a big fit burly guy to shadow Maradona in the 1986 Final, but he still got away and played the pass for the winning goal. IMO the marker can't seem to sustain shadowing a midfielder","Tue Jun 17, 2014 2:39 pm",71,9804,World Football,England v Italy
always loved Brazil's style and I'd like to see that rewarded again. Or Messi to win it for the Argies and prove that he is up there with Pele and Maradona. I would say the same thing is possible for Ronaldo but he doesn't have the team around him to go all the way IMO. But I think it will be Germany.,"Tue Mar 25, 2014 11:07 am",29,5181,World Football,Who will win the World Cup?
"differentlythe oppressed and the oppressorwhat some call 'cheating', other call 'game smarts'. it wasn't just Argentina celebrating Maradona's Hand of God","Fri Jan 10, 2014 4:47 pm",39,7754,World Football,Football is cheating admits Pellegrini
"Maradona's solo against Brazil in the round of 16 was probably his only goood moment of the tournament, but shiraz me Argies got killed until that moment of magic","Fri Jan 10, 2014 12:42 pm",82,12398,World Football,2022 World Cup to be played in winter
"standards. For one of his 6575475 teams that's a penalty. But hey, this is the same guy who was demonising Suarez for a handball, but admonishing Maradona for the same thing :P But wait, pardon me - a goals video website questioned something, ergo it must be true.","Thu Nov 07, 2013 4:19 pm",46,11225,World Football,Ashley YOung at it again.
"/ Rijkaard / C.Ronaldo FWD: Messi / Ronaldo / Guillit COACH: Rinus Michels (the Father of the football most teams try to play now) Yep, no Pele/Maradona/Cruyff/Best etc pretty sure the team would do ok though Notable mentions to Van Basten / Nilton Santos / Baresi","Fri Oct 25, 2013 10:32 pm",1,653,World Football,Give it a go...
"squad. You possibly misunderstand. I said could tilt things in a tight situation. I have admired Napoli's atmosphere on TV as long ago as the Maradona years. But I bet if they could, those fans would want to be closer to the action to lift their team even more and intimidate the visiting side","Wed Sep 04, 2013 1:28 pm",393,49038,World Football,CL DRAW
"review left, and you think you are actually out, then you are an idiot (ie 99% chance you'll get found out). I cant see how you cant see that. My Maradona theory - you may call him a cheat, BUT if the goal was disallowed, no-one would even be talking about it and thus labelling him as such. No-one","Thu Aug 08, 2013 11:39 am",1018,101108,Other Sports,The Ashes 2013 in England
"review left, and you think you are actually out, then you are an idiot (ie 99% chance you'll get found out). I cant see how you cant see that. My Maradona theory - you may call him a cheat, BUT if the goal was disallowed, no-one would even be talking about it and thus labelling him as such.","Thu Aug 08, 2013 11:28 am",1018,101108,Other Sports,The Ashes 2013 in England
"he hit it and didn't walk. Why's he not being labelled a cheat? He's labelled an idiot, yes. How can he cheat if there is a review left? Would Maradona be labelled a cheat if England were allowed to review the hand of god goal? Yes, you're a cheat no matter whether you get caught or not. So","Thu Aug 08, 2013 11:21 am",1018,101108,Other Sports,The Ashes 2013 in England
"he hit it and didn't walk. Why's he not being labelled a cheat? He's labelled an idiot, yes. How can he cheat if there is a review left? Would Maradona be labelled a cheat if England were allowed to review the hand of god goal?","Thu Aug 08, 2013 11:16 am",1018,101108,Other Sports,The Ashes 2013 in England
"then went back to there room. Only the coaching staff were still downstairs with Bryan Robson. We just sat there listening to there convos about Maradona, Zaha and future transfer targets. :lol: :lol: Of course, lucky you real fans were there. :lol: I did think the same, must have been","Tue Jul 23, 2013 11:04 am",539,70631,World Football,Man Utd
"then went back to there room. Only the coaching staff were still downstairs with Bryan Robson. We just sat there listening to there convos about Maradona, Zaha and future transfer targets. lucky sherry, spewing I didn't arrive earlier to witness this!! but saturday at the pub, was a fantastic","Tue Jul 23, 2013 11:03 am",539,70631,World Football,Man Utd
"then went back to there room. Only the coaching staff were still downstairs with Bryan Robson. We just sat there listening to there convos about Maradona, Zaha and future transfer targets. :lol: :lol: Of course, lucky you real fans were there. :lol:","Tue Jul 23, 2013 10:15 am",539,70631,World Football,Man Utd
"then went back to there room. Only the coaching staff were still downstairs with Bryan Robson. We just sat there listening to there convos about Maradona, Zaha and future transfer targets. His daughters lives at Henley Beach I think. What's wrong with getting other players. My son has an England","Tue Jul 23, 2013 10:08 am",539,70631,World Football,Man Utd
"then went back to there room. Only the coaching staff were still downstairs with Bryan Robson. We just sat there listening to there convos about Maradona, Zaha and future transfer targets.","Tue Jul 23, 2013 10:04 am",539,70631,World Football,Man Utd
"fear of failure. Parent should just watch and leave the kids to explore the game[/quote] Bingo!!!We have a winnerGod forbid if the likes of Maradona, Ronaldo, Messi and Bale were all told they weren't allowed to dribble when they were young. Why take away from a child the one thing that","Fri Jul 19, 2013 10:06 am",14,3442,Junior Football,HOW PARENTS CAN LOOK TO DEVELOP YOUNG SOCCER PLAYERS
"Imagine if there was a DRS in the football WC in 86, England v Argentina - England had one review left before Maradona's hand of god. Do you think he would have claimed the goal and celebrated as such in that circumstance? Then think if England had no reviews left (which as they","Thu Jul 18, 2013 1:23 pm",91,18270,Other Sports,2ND ashes test!
"All 3 players are in the same boat. Imagine if there was a DRS in the football WC in 86, England v Argentina - England had one review left before Maradona's hand of god. Do you think he would have claimed the goal and celebrated as such in that circumstance? Then think if England had no reviews","Thu Jul 18, 2013 10:01 am",91,18270,Other Sports,2ND ashes test!
Less likely to find argentinians calling maradona a cheat.,"Wed Jul 17, 2013 9:05 am",1018,101108,Other Sports,The Ashes 2013 in England
"i was referring to all my aussie mates who are still losing sleep over it, i do socialise outside of this forum. I reckon the whingeing over Maradona's hand of god trumps any issues being discussed here. I agree that Clarke stuffed up with frivolous reviews - he has paid the price. But why","Tue Jul 16, 2013 4:00 pm",1018,101108,Other Sports,The Ashes 2013 in England
"I reckon the whingeing over Maradona's hand of god trumps any issues being discussed here. I agree that Clarke stuffed up with frivolous reviews - he has paid the price. But why use technology on a ""tactical"" basis? Swanny is right - let","Tue Jul 16, 2013 3:52 pm",1018,101108,Other Sports,The Ashes 2013 in England
"Agree, as people should with the goose who didnt see Maradona's ""hand of god"".","Tue Jul 16, 2013 9:13 am",1018,101108,Other Sports,The Ashes 2013 in England
Please don't mix up your negatives as I refuse to forget about that champagne.,"Mon Jul 15, 2013 12:09 pm",1018,101108,Other Sports,The Ashes 2013 in England
